"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","18:27:46"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
0.00,3024.80120121951,0.270216146341463
0.02,3030.39470731707,0.230927853658537
0.04,3026.30492073171,0.0845425853658537
0.06,3027.58225609756,0.218268292682927
0.08,3023.42967682927,0.0726833414634146
0.10,3027.64339634146,0.0548580975609756
0.12,3029.90558536585,0.289569268292683
0.14,3030.05595731707,0.174323609756098
0.16,3027.36578658537,0.0881076341463415
0.18,3030.09065853659,0.0494013902439024
0.20,3026.99398780488,-0.00443812195121951
0.22,3027.18236585366,0.14915
0.24,3029.26443902439,0.0926912682926829
0.26,3031.15152439024,0.200806829268293
0.28,3026.55278658537,0.219577902439024
0.30,3026.65193292683,0.187929
0.32,3026.18759756098,0.211793
0.34,3027.38231097561,0.151114414634146
0.36,3026.88327439024,0.20728212195122
0.38,3025.30023780488,0.0982207317073171
0.40,3028.78688414634,0.15286056097561
0.42,3024.73675609756,0.125577024390244
0.44,3028.24818902439,0.245915609756098
0.46,3028.61833536585,0.244314975609756
0.48,3026.93119512195,0.194113268292683
0.50,3027.65496341463,0.115318414634146
0.52,3026.48834146341,0.263813609756098
0.54,3029.73703658537,0.19243987804878
0.56,3029.35697560976,0.270143390243902
0.58,3033.0452195122,0.250572
0.60,3031.30354878049,0.0670083658536585
0.62,3028.64312195122,0.247661756097561
0.64,3029.86923170732,0.228890682926829
0.66,3030.72684756098,0.199642731707317
0.68,3027.4632804878,0.208009682926829
0.70,3029.85601219512,0.131179243902439
0.72,3027.10139634146,0.199424463414634
0.74,3031.12508536585,0.0766849268292683
0.76,3029.99646951219,0.229909268292683
0.78,3023.74694512195,0.104405
0.80,3031.25232317073,0.186837658536585
